Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Suriname,Americas,81022,13811.384,15,2.557,0,1383,235.753,1,0.17,0
French Polynesia,Western Pacific,76459,27218.52,100,35.599,20,649,231.036,0,0,0
New Caledonia,Western Pacific,74102,25955.348,469,164.274,469,314,109.983,0,0,0
Eswatini,Africa,73361,6323.33,17,1.465,0,1422,122.569,3,0.259,0
Guyana,Americas,70982,9024.451,167,21.232,8,1278,162.481,0,0,0
Belize,Americas,68238,17161.266,206,51.807,51,680,171.014,0,0,0
Fiji,Western Pacific,68153,7602.586,73,8.143,0,878,97.942,1,0.112,0
Madagascar,Africa,66626,240.605,11,0.04,0,1410,5.092,0,0,0
Sudan,Eastern Mediterranean,63228,144.194,0,0,0,4961,11.314,0,0,0
Mauritania,Africa,62761,1349.798,19,0.409,0,992,21.335,0,0,0
Cabo Verde,Africa,62317,11208.356,20,3.597,0,410,73.743,0,0,0
Bhutan,South-East Asia,61076,7915.418,102,13.219,0,21,2.722,0,0,0
Jersey,Europe,58890,54630.97,59,54.733,0,136,126.164,1,0.928,0
Syrian Arab Republic,Eastern Mediterranean,57026,325.851,124,0.709,18,3163,18.074,1,0.006,0
Burundi,Africa,49287,414.497,164,1.379,0,15,0.126,0,0,0
Gabon,Africa,48649,2185.751,0,0,0,306,13.748,0,0,0
Guam,Western Pacific,48186,28550.437,257,152.274,0,389,230.484,0,0,0
Seychelles,Africa,46081,46855.522,229,232.849,0,169,171.841,1,1.017,0
Andorra,Europe,46027,59570.31,52,67.301,0,154,199.314,0,0,0
Curaçao,Americas,45302,27607.515,25,15.235,25,287,174.901,1,0.609,1
Papua New Guinea,Western Pacific,44880,501.619,10,0.112,0,664,7.421,0,0,0
Aruba,Americas,42848,40132.626,98,91.79,98,227,212.615,0,0,0
Mayotte,Africa,40004,14663.417,109,39.954,0,187,68.545,0,0,0
United Republic of Tanzania,Africa,38712,64.807,0,0,0,841,1.408,0,0,0
Togo,Africa,38491,464.939,105,1.268,26,282,3.406,0,0,0
Isle of Man,Europe,38008,44698.466,0,0,0,116,136.419,0,0,0
Guinea,Africa,37470,285.316,0,0,0,447,3.404,0,0,0
Bahamas,Americas,37052,9422.14,43,10.935,0,823,209.285,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Lesotho,Africa,34206,1596.733,0,0,0,704,32.863,0,0,0
Haiti,Americas,33381,292.751,50,0.438,0,841,7.376,0,0,0
Mali,Africa,31365,154.883,102,0.504,28,739,3.649,0,0,0
Guernsey,Europe,30767,47724.452,116,179.934,116,62,96.172,0,0,0
Cayman Islands,Americas,30057,45734.936,0,0,0,29,44.127,0,0,0
Saint Lucia,Americas,28775,15670.353,154,83.866,45,391,212.932,2,1.089,2
Benin,Africa,27490,226.755,174,1.435,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,27020,170.01,0,0,0,1361,8.563,0,0,0
Congo,Africa,24775,448.978,0,0,0,386,6.995,0,0,0
Timor-Leste,South-East Asia,23170,1757.373,30,2.275,7,138,10.467,3,0.228,0
United States Virgin Islands,Americas,22622,21663.395,229,219.296,141,122,116.83,0,0,0
Solomon Islands,Western Pacific,21544,3136.483,0,0,0,153,22.275,0,0,0
Burkina Faso,Africa,21128,101.075,0,0,0,387,1.851,0,0,0
San Marino,Europe,20373,60030.055,81,238.671,8,118,347.693,0,0,0
Gibraltar,Europe,20049,59508.474,0,0,0,107,317.592,0,0,0
Grenada,Americas,19289,17142.273,81,71.985,0,236,209.735,0,0,0
Liechtenstein,Europe,19136,49387.049,96,247.761,0,85,219.372,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
Bermuda,Americas,17785,28559.729,111,178.247,0,148,237.663,0,0,0
South Sudan,Africa,17780,158.839,0,0,0,138,1.233,0,0,0
Equatorial Guinea,Africa,16859,1201.652,14,0.998,0,183,13.044,0,0,0
Samoa,Western Pacific,15839,7982.804,72,36.288,0,29,14.616,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Tonga,Western Pacific,15235,14414.116,0,0,0,12,11.353,0,0,0
Marshall Islands,Western Pacific,15007,25352.232,1504,2540.798,100,17,28.719,3,5.068,1
Nicaragua,Americas,14931,225.389,0,0,0,244,3.683,0,0,0
Central African Republic,Africa,14861,307.696,0,0,0,113,2.34,0,0,0
Dominica,Americas,14852,20630.357,0,0,0,68,94.456,0,0,0
Monaco,Europe,14379,36639.996,38,96.83,4,61,155.438,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,13120,22794.795,70,121.619,0,40,69.496,0,0,0
Gambia,Africa,12311,509.42,0,0,0,371,15.352,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Saint Martin,Americas,11941,30888.021,30,77.602,0,46,118.989,0,0,0
Yemen,Eastern Mediterranean,11926,39.985,9,0.03,0,2155,7.225,1,0.003,0
Vanuatu,Western Pacific,11800,3841.834,29,9.442,20,14,4.558,0,0,0
Sint Maarten,Americas,10836,25269.344,27,62.963,27,87,202.882,0,0,0
Eritrea,Africa,10154,286.317,5,0.141,0,103,2.904,0,0,0
Niger,Africa,9931,41.026,681,2.813,0,312,1.289,0,0,0
Saint Vincent and the Grenadines,Americas,9428,8498.287,13,11.718,0,115,103.66,0,0,0
Bonaire,Americas,9327,44594.788,39,186.469,39,31,148.219,0,0,0
Antigua and Barbuda,Americas,8949,9138.253,54,55.142,0,145,148.066,1,1.021,0
Guinea-Bissau,Africa,8491,431.453,0,0,0,175,8.892,0,0,0
Comoros,Africa,8455,972.285,15,1.725,0,160,18.399,0,0,0
American Samoa,Western Pacific,8168,14797.906,0,0,0,34,61.598,1,1.812,0
Liberia,Africa,7883,155.862,27,0.534,0,294,5.813,0,0,0
Sierra Leone,Africa,7747,97.117,3,0.038,0,125,1.567,0,0,0
Chad,Africa,7536,45.879,47,0.286,0,193,1.175,0,0,0
Micronesia (Federated States of),Western Pacific,7327,6370.03,424,368.622,65,26,22.604,4,3.478,0
British Virgin Islands,Americas,7291,24112.842,160,529.153,160,64,211.661,1,3.307,1
Saint Kitts and Nevis,Americas,6512,12242.442,11,20.68,1,46,86.479,0,0,0
Turks and Caicos Islands,Americas,6359,16423.886,8,20.662,0,36,92.98,0,0,0
Cook Islands,Western Pacific,6265,35669.551,0,0,0,1,5.693,0,0,0
Sao Tome and Principe,Africa,6136,2799.794,0,0,0,76,34.678,0,0,0
Palau,Western Pacific,5348,29560.027,69,381.384,0,6,33.164,0,0,0
Saint Barthélemy,Americas,5263,53242.286,32,323.723,0,5,50.582,0,0,0
Nauru,Western Pacific,4610,42551.228,0,0,0,1,9.23,0,0,0
Anguilla,Americas,3837,25576.59,32,213.305,32,11,73.324,1,6.666,1
Kiribati,Western Pacific,3430,2871.518,0,0,0,13,10.883,0,0,0
Saint Pierre and Miquelon,Americas,3131,54029.336,0,0,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1886,54148.722,0,0,0,0,0,0,0,0
Sint Eustatius,Americas,1189,37878.305,15,477.859,15,5,159.286,0,0,0
Montserrat,Americas,1126,22524.505,20,400.08,0,8,160.032,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,761,6766.85,0,0,0,7,62.244,0,0,0
Saba,Americas,714,36937.403,3,155.199,3,2,103.466,0,0,0
Niue,Western Pacific,79,4882.571,19,1174.289,11,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,20,169.607,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
